episode,timestep,reward
26,2000,107.355
48,4000,135.1159
69,6000,159.3544
86,8000,200.8895
104,10000,197.9942
124,12000,175.43
142,14000,230.6875
159,16000,214.6439
177,18000,213.2303
193,20000,255.3335
207,22000,301.4109
221,24000,291.7728
237,26000,272.1871
254,28000,260.0593
269,30000,275.3674
284,32000,290.3054
298,34000,314.6758
314,36000,263.4023
329,38000,280.3897
343,40000,297.2952
358,42000,297.1673
374,44000,252.7111
390,46000,261.6468
407,48000,262.7276
422,50000,277.5148
438,52000,279.9491
454,54000,275.6204
469,56000,306.7753
483,58000,326.2414
497,60000,314.6969
512,62000,305.7357
527,64000,291.4684
543,66000,291.4105
558,68000,293.6807
574,70000,280.123
589,72000,306.7008
605,74000,307.5005
620,76000,314.5746
636,78000,306.1637
650,80000,324.9144
665,82000,330.5521
680,84000,328.0528
695,86000,334.4928
711,88000,324.132
726,90000,315.4907
743,92000,293.5986
760,94000,287.9432
776,96000,305.5731
791,98000,301.6875
806,100000,301.4757
822,102000,296.9898
838,104000,311.1113
854,106000,301.117
870,108000,293.1714
886,110000,301.8027
901,112000,314.2387
916,114000,315.1106
932,116000,307.9288
947,118000,299.4212
960,120000,349.792
977,122000,275.2701
