episode,timestep,reward
14,2000,378.0131
28,4000,373.5358
43,6000,357.1708
58,8000,377.4066
71,10000,411.3772
85,12000,394.8489
98,14000,399.6831
111,16000,406.4876
125,18000,403.8847
137,20000,417.0993
150,22000,443.4649
162,24000,443.7747
174,26000,441.6747
186,28000,436.3963
199,30000,432.9182
212,32000,429.8867
224,34000,453.4582
235,36000,465.5497
247,38000,455.443
258,40000,468.4101
268,42000,534.5538
279,44000,490.0445
289,46000,517.7966
299,48000,552.873
307,50000,612.7929
317,52000,571.2448
326,54000,554.9962
336,56000,582.2603
346,58000,529.112
356,60000,580.702
364,62000,595.0915
373,64000,669.4936
382,66000,611.2767
392,68000,557.994
399,70000,800.8035
408,72000,662.8016
415,74000,720.8565
423,76000,728.509
431,78000,658.5809
438,80000,769.9095
444,82000,867.8889
451,84000,853.3735
458,86000,780.4129
465,88000,795.1375
471,90000,919.0923
477,92000,942.6291
485,94000,663.1171
493,96000,782.9241
500,98000,741.2513
508,100000,738.7747
516,102000,721.3538
524,104000,624.7498
531,106000,871.3931
540,108000,621.4968
548,110000,738.6808
556,112000,692.9376
563,114000,787.3416
571,116000,705.2312
580,118000,639.8786
588,120000,739.3411
596,122000,650.1323
603,124000,803.1298
612,126000,691.57
620,128000,707.2331
628,130000,735.8521
636,132000,691.4928
644,134000,717.4497
652,136000,690.0789
659,138000,828.5867
666,140000,812.1079
673,142000,776.6856
680,144000,775.9458
687,146000,750.1997
695,148000,807.2441
700,150000,1014.3452
707,152000,912.8251
715,154000,681.9669
721,156000,828.571
728,158000,962.6781
734,160000,874.1754
743,162000,675.328
751,164000,697.125
758,166000,746.3242
764,168000,1056.3915
771,170000,775.69
779,172000,749.9222
786,174000,811.2114
794,176000,696.4445
802,178000,788.3808
809,180000,755.9036
817,182000,759.7653
824,184000,916.7113
829,186000,1082.8718
836,188000,838.3732
843,190000,775.3181
851,192000,715.4535
859,194000,743.7569
865,196000,1024.3219
873,198000,704.7297
880,200000,838.2815
886,202000,879.3654
893,204000,899.9813
899,206000,867.0745
907,208000,818.8817
913,210000,908.8166
918,212000,823.7047
926,214000,946.9371
932,216000,877.6991
939,218000,826.1989
947,220000,778.6508
953,222000,964.2091
960,224000,778.196
965,226000,1193.9806
971,228000,942.4024
977,230000,937.3522
982,232000,1062.8708
988,234000,981.5785
994,236000,981.9094
999,238000,1120.1465
1006,240000,881.7725
1012,242000,903.6823
1020,244000,687.8794
1026,246000,924.0405
1034,248000,825.8921
1041,250000,848.95
1047,252000,902.1676
1052,254000,1299.0834
1061,256000,674.8204
1068,258000,808.676
1074,260000,898.1372
1081,262000,927.2047
1087,264000,948.9819
1094,266000,831.4678
1100,268000,939.4633
1106,270000,939.0384
1113,272000,825.5511
1119,274000,930.2107
1127,276000,824.431
1133,278000,899.7392
1140,280000,835.6935
1145,282000,1193.9037
1151,284000,1028.3366
1159,286000,770.2546
1165,288000,920.8517
1172,290000,858.7224
1179,292000,838.8525
1186,294000,773.7278
1193,296000,906.3638
1199,298000,984.6242
1206,300000,865.9863
1213,302000,824.8073
1220,304000,931.5693
1227,306000,798.5889
1232,308000,1024.85
1239,310000,939.8946
1246,312000,845.4098
1252,314000,991.8067
1257,316000,932.1442
1263,318000,1119.3022
1268,320000,938.7324
1274,322000,1150.8343
1280,324000,1039.018
1285,326000,1121.8247
1290,328000,1090.3852
1295,330000,1192.0447
1301,332000,991.2432
1305,334000,1363.1772
1311,336000,1077.0561
1317,338000,965.3071
1323,340000,984.7237
1329,342000,928.1792
1335,344000,1026.7287
1340,346000,1080.6319
1348,348000,847.7852
1354,350000,882.7474
1362,352000,793.1538
1371,354000,658.3543
1379,356000,741.0208
1386,358000,826.6504
1394,360000,707.8744
1401,362000,930.8332
1408,364000,752.0052
1416,366000,795.1458
1424,368000,725.6917
1430,370000,842.1167
1437,372000,975.5797
1444,374000,919.7703
1450,376000,953.9479
1455,378000,1121.8848
1461,380000,1000.9966
1467,382000,1024.1814
1473,384000,948.7757
1479,386000,1116.0099
1487,388000,757.6164
1493,390000,984.4443
1499,392000,912.8003
1504,394000,1157.0911
1510,396000,1022.5667
1515,398000,1216.5802
1521,400000,1057.4929
1525,402000,1414.0986
1531,404000,1036.9005
1536,406000,1085.4652
1542,408000,1065.2896
1548,410000,1019.155
1553,412000,1013.2468
1558,414000,1061.5952
1564,416000,1046.7269
1570,418000,1128.5801
1575,420000,1145.7677
1579,422000,1426.5031
1585,424000,1084.7734
1589,426000,1247.0776
1593,428000,1137.3693
1599,430000,1259.2862
1606,432000,815.3532
1613,434000,936.5091
1619,436000,864.6778
1624,438000,1294.5673
1629,440000,1048.2636
1635,442000,1167.7588
1640,444000,1098.2527
1645,446000,1112.2241
1651,448000,1058.8324
1656,450000,1136.6171
1662,452000,1045.2707
1666,454000,1248.298
1672,456000,977.8356
1679,458000,931.1577
1685,460000,799.5212
1692,462000,1054.2297
1698,464000,970.1694
1704,466000,947.7384
1712,468000,789.7242
1718,470000,973.0856
1725,472000,910.2912
1730,474000,1023.8654
1737,476000,973.0217
1742,478000,1045.4437
1748,480000,1107.3867
1754,482000,1017.4909
1759,484000,1192.5754
1765,486000,963.0349
1771,488000,1053.5942
1778,490000,926.7339
1784,492000,929.1386
1790,494000,1127.1527
1797,496000,823.926
1802,498000,1100.2311
1810,500000,842.6664
1816,502000,1013.7827
1821,504000,1266.6141
1826,506000,1021.835
1832,508000,1140.0746
1837,510000,1002.6023
1843,512000,1037.6662
1849,514000,1109.5726
1855,516000,1027.2277
1861,518000,1040.7415
1867,520000,937.5844
1873,522000,1093.8759
1877,524000,1178.1548
1883,526000,1138.2721
1888,528000,1395.1412
1893,530000,1047.0182
1898,532000,1243.2032
1902,534000,1506.2677
1909,536000,1019.3136
1913,538000,1479.333
1918,540000,1111.883
1924,542000,952.1927
1928,544000,1734.1239
1933,546000,1204.7425
1937,548000,1524.8752
1942,550000,1286.2964
1947,552000,1221.0993
1953,554000,1008.085
1959,556000,977.1217
1965,558000,1150.2248
1970,560000,1182.6038
1974,562000,1373.4356
1980,564000,1155.7064
1985,566000,1119.7647
1989,568000,1139.4055
1997,570000,1001.0919
2001,572000,1385.6126
2004,574000,1953.3037
2008,576000,1475.1964
2014,578000,1228.3405
2019,580000,1131.0705
2023,582000,1428.5056
2030,584000,969.0694
2036,586000,1084.4942
2041,588000,1172.8884
2047,590000,878.6517
2052,592000,1280.9057
2057,594000,1195.2237
2061,596000,1560.0595
2065,598000,1434.5269
2070,600000,1196.133
2075,602000,1338.136
2079,604000,1358.7289
2085,606000,1013.3268
2091,608000,1234.1233
2097,610000,985.8589
2101,612000,1454.7602
2105,614000,1335.0499
2113,616000,857.2417
2118,618000,1136.4725
2124,620000,1083.046
2131,622000,893.6459
2135,624000,1422.5754
2139,626000,1317.4616
2142,628000,1890.3917
2148,630000,1181.4106
2154,632000,1115.8871
2157,634000,1801.6831
2163,636000,1146.9811
2168,638000,1094.5387
2175,640000,862.6096
2181,642000,1155.0345
2186,644000,1182.0383
2191,646000,1253.6231
2196,648000,899.7836
2201,650000,1468.3164
2206,652000,1195.3235
2212,654000,1135.6831
2217,656000,1222.6263
2221,658000,1516.9303
2224,660000,1471.2322
2229,662000,1588.1228
2235,664000,1003.5447
2239,666000,1362.6183
2244,668000,1211.2396
2249,670000,1301.1611
2254,672000,1326.8515
2261,674000,895.3298
2266,676000,1130.1124
2273,678000,943.4737
2276,680000,2135.1504
2281,682000,1164.9852
2286,684000,1345.3569
2290,686000,1533.1405
2295,688000,1075.0084
2299,690000,1561.6636
2304,692000,1468.2113
2309,694000,1225.988
2314,696000,1108.6518
2320,698000,1017.8908
2324,700000,1623.912
2329,702000,1173.3961
2333,704000,1454.0966
2339,706000,1145.0356
2344,708000,1284.7933
2350,710000,1013.244
2354,712000,1263.0956
2357,714000,2347.6345
2361,716000,1170.1118
2366,718000,1562.1167
2371,720000,1166.857
2376,722000,1329.4716
2381,724000,1292.976
2386,726000,1090.8756
2390,728000,1566.8324
2394,730000,1599.879
2399,732000,1302.2177
2404,734000,1268.4399
2410,736000,1141.7819
2416,738000,1027.7837
2421,740000,1209.7733
2425,742000,1331.8175
2431,744000,1120.4224
2435,746000,1368.128
2438,748000,1703.0152
2441,750000,2450.0258
2443,752000,2257.438
2447,754000,2000.5991
2450,756000,2261.3808
2455,758000,1118.1745
2462,760000,1046.0956
2467,762000,1217.5316
2473,764000,941.3768
2480,766000,987.4732
2485,768000,1086.5516
2491,770000,1094.8742
2498,772000,957.3541
2505,774000,962.0828
2511,776000,927.0246
2516,778000,1151.0176
2522,780000,1132.9975
2527,782000,1227.7163
2532,784000,1295.9188
2538,786000,1126.7683
2544,788000,1017.3281
2550,790000,1096.9173
2555,792000,1117.8072
2562,794000,994.4885
2568,796000,966.2132
2575,798000,876.5202
2581,800000,1064.0227
2587,802000,1159.2838
2593,804000,1053.5636
2599,806000,976.0971
2606,808000,957.1583
2611,810000,1186.5552
2615,812000,1307.7509
2620,814000,1417.0098
2626,816000,1172.231
2631,818000,824.415
2638,820000,1155.1026
2643,822000,1226.516
2648,824000,949.4554
2652,826000,1571.1969
2658,828000,1233.3626
2662,830000,1449.357
2667,832000,1344.0326
2672,834000,1297.7899
2677,836000,1358.0652
2682,838000,1194.6042
2687,840000,1095.8008
2692,842000,1224.8424
2697,844000,1446.5723
2701,846000,1323.5699
2706,848000,1292.8528
2712,850000,1118.1376
2719,852000,897.8082
2725,854000,1152.0404
2732,856000,799.2154
2737,858000,1287.1517
2741,860000,1539.9377
2747,862000,1003.4992
2752,864000,1358.5466
2759,866000,944.1257
2762,868000,1940.8109
2767,870000,1280.8078
2773,872000,1080.1211
2777,874000,1325.7206
2783,876000,1189.7341
2787,878000,1389.8753
2792,880000,1318.5311
2796,882000,1703.3999
2800,884000,1225.2374
2806,886000,1192.5625
2811,888000,1357.3335
2815,890000,1471.7829
2820,892000,1315.6533
2825,894000,1301.0611
2830,896000,1213.1142
2834,898000,1582.8766
2837,900000,1951.1502
2840,902000,1821.0636
2845,904000,1372.5425
2850,906000,1170.6333
2854,908000,1815.867
2858,910000,1448.3079
2861,912000,2042.1196
2865,914000,1305.1667
2869,916000,1832.0023
2875,918000,1117.4701
2879,920000,935.8746
2884,922000,1675.4552
2888,924000,1567.8412
2891,926000,2180.748
2895,928000,1598.6616
2898,930000,1830.5928
2903,932000,1144.1738
2909,934000,1254.8161
2913,936000,1203.9459
2917,938000,1685.6936
2923,940000,1199.2362
2927,942000,1231.0307
2930,944000,1796.3221
2934,946000,1412.0019
2938,948000,1647.2225
2941,950000,2037.1279
2945,952000,2026.9399
2949,954000,1420.5135
2952,956000,1939.9477
2954,958000,2127.8331
2957,960000,2810.1571
2960,962000,1910.339
2963,964000,2287.7543
2967,966000,1401.7647
2972,968000,1444.2591
2975,970000,1894.1962
2978,972000,2048.1114
2981,974000,1602.9625
2985,976000,1751.8278
2990,978000,1351.5159
2993,980000,2230.9558
2998,982000,1199.1472
3002,984000,1282.2929
3006,986000,1550.8275
3009,988000,2080.6422
3012,990000,2383.3588
3015,992000,1316.1304
3018,994000,2358.0439
3022,996000,1615.5112
3026,998000,1563.6306
3030,1000000,1355.7971
3033,1002000,2544.9208
3036,1004000,1996.4136
3040,1006000,1723.5673
3042,1008000,2705.7273
3045,1010000,1890.4911
3050,1012000,1491.7346
3054,1014000,1635.7643
3058,1016000,1478.4755
3061,1018000,1789.0392
3064,1020000,1627.9798
3066,1022000,2797.9193
3071,1024000,1785.1361
3075,1026000,1382.7637
3078,1028000,1556.0114
3082,1030000,2008.8275
3084,1032000,1936.8369
3087,1034000,2792.6702
3091,1036000,1246.9893
3096,1038000,1567.4931
3101,1040000,1170.4006
3103,1042000,2043.7446
3106,1044000,2597.4944
3110,1046000,1590.6689
3114,1048000,1573.3542
3117,1050000,1708.9536
3122,1052000,1696.6961
3126,1054000,1261.6826
3130,1056000,1862.959
3133,1058000,1696.7114
3138,1060000,1478.7462
3142,1062000,1521.1495
3147,1064000,1073.5276
3152,1066000,1204.5185
3156,1068000,1720.5069
3161,1070000,1306.5308
3165,1072000,1336.7789
3170,1074000,1425.361
3173,1076000,2043.4829
3176,1078000,1358.7668
3180,1080000,2219.9373
3184,1082000,1473.8744
3190,1084000,1124.8453
3194,1086000,1338.1953
3197,1088000,2307.4315
3204,1090000,922.3801
3211,1092000,843.6802
3214,1094000,1703.9003
3219,1096000,1401.9501
3225,1098000,1200.0062
3228,1100000,1947.4643
3234,1102000,1227.9652
3237,1104000,2060.4797
3242,1106000,1100.8047
3248,1108000,1113.0476
3252,1110000,1640.9349
3256,1112000,1385.5502
3261,1114000,1365.6451
3264,1116000,1477.5983
3269,1118000,1671.4317
3273,1120000,1423.768
3277,1122000,1255.3713
3280,1124000,2095.9969
3285,1126000,1561.4793
3291,1128000,966.0698
3295,1130000,1566.4239
3300,1132000,1472.6463
3304,1134000,1552.7553
3309,1136000,1330.6584
3312,1138000,1907.9732
3316,1140000,1734.0707
3320,1142000,1599.9694
3325,1144000,1335.2095
3330,1146000,1191.8986
3334,1148000,1523.8436
3338,1150000,1776.3918
3341,1152000,2044.6431
3347,1154000,1033.8497
3350,1156000,1956.3611
3356,1158000,1064.1874
3362,1160000,1225.8313
3364,1162000,2038.0165
3368,1164000,2061.7766
3373,1166000,1145.5498
3377,1168000,1752.4021
3379,1170000,2078.7661
3384,1172000,1655.2502
3390,1174000,1147.9688
3394,1176000,1527.4732
3397,1178000,1994.378
3403,1180000,1146.6263
3406,1182000,1837.2255
3410,1184000,1741.0431
3413,1186000,1441.8158
3416,1188000,2847.4597
3419,1190000,1819.4501
3424,1192000,1425.0812
3430,1194000,1061.8257
3436,1196000,1040.3973
3441,1198000,1250.8142
3446,1200000,1206.1765
3451,1202000,1425.9503
3457,1204000,963.9243
3462,1206000,1328.7356
3466,1208000,1509.7614
3473,1210000,978.0864
3478,1212000,1252.8606
3483,1214000,1271.6288
3487,1216000,1201.1054
3491,1218000,1822.3767
3496,1220000,1336.7923
3499,1222000,1654.6495
3503,1224000,1877.6626
3509,1226000,1139.0446
3512,1228000,1519.153
3516,1230000,1645.4008
3520,1232000,1767.6469
3525,1234000,1190.0804
3530,1236000,1064.4001
3534,1238000,1900.8805
3537,1240000,2045.2125
3543,1242000,1202.0814
3546,1244000,1584.2428
3551,1246000,1540.1773
3555,1248000,1150.1535
3560,1250000,1710.2029
3563,1252000,2223.336
3566,1254000,1801.2877
3569,1256000,2024.9325
3572,1258000,2386.2254
3575,1260000,1796.4562
3578,1262000,1973.2095
3581,1264000,2336.3003
3583,1266000,2271.3217
3586,1268000,2446.1656
3589,1270000,1852.7266
3592,1272000,2396.0579
3595,1274000,2246.7279
3597,1276000,3066.7935
3599,1278000,2486.2244
3602,1280000,2364.6113
3606,1282000,1712.5043
3608,1284000,2134.9101
3610,1286000,3078.3103
3614,1288000,2076.0024
3617,1290000,1946.1843
3620,1292000,2276.8248
3623,1294000,1678.6351
3625,1296000,2652.49
3629,1298000,1653.007
3635,1300000,1402.4315
3639,1302000,1669.0105
3641,1304000,2203.0087
3645,1306000,1994.2124
3648,1308000,1860.2959
3651,1310000,2003.2372
3655,1312000,1832.3232
3658,1314000,1826.9141
3662,1316000,1163.6191
3665,1318000,2065.0124
3668,1320000,3115.2067
3671,1322000,2028.9336
3673,1324000,2945.9421
3679,1326000,1013.1986
3682,1328000,2244.5089
3684,1330000,3159.816
3686,1332000,3035.9059
3689,1334000,2058.1503
3692,1336000,1880.4103
3695,1338000,2165.5102
3698,1340000,2215.8207
3701,1342000,1829.4595
3706,1344000,1378.7955
3710,1346000,1581.7694
3713,1348000,2249.4251
3716,1350000,2185.1197
3719,1352000,1854.9922
3723,1354000,1411.8033
3725,1356000,3246.1414
3729,1358000,1700.6987
3733,1360000,1511.8624
3736,1362000,1800.9084
3739,1364000,2148.073
3743,1366000,1766.4393
3745,1368000,2751.4728
3749,1370000,1534.4716
3753,1372000,2025.9518
3755,1374000,2696.88
3760,1376000,1456.6232
3763,1378000,1891.4135
3766,1380000,1862.7894
3770,1382000,1993.4175
3774,1384000,1563.0714
3778,1386000,1220.7539
3784,1388000,1373.8953
3789,1390000,1181.5975
3792,1392000,1487.0499
3796,1394000,2010.7424
3799,1396000,2163.3685
3803,1398000,1511.3067
3805,1400000,2380.7589
3810,1402000,1798.5112
3815,1404000,1222.4629
3817,1406000,2702.031
3821,1408000,1521.6926
3825,1410000,1608.9168
3830,1412000,1530.183
3834,1414000,1349.3043
3839,1416000,1020.1287
3844,1418000,1554.8043
3849,1420000,1351.3507
3853,1422000,1455.0792
3858,1424000,1504.9437
3860,1426000,2335.5919
3864,1428000,1667.7691
3869,1430000,1539.5474
3872,1432000,1979.1697
3875,1434000,2223.832
3880,1436000,1361.2397
3885,1438000,1272.4143
3888,1440000,1666.2111
3892,1442000,1642.1754
3899,1444000,1082.4987
3903,1446000,1586.3976
3906,1448000,2238.3186
3912,1450000,1063.4253
3918,1452000,1126.343
3922,1454000,1442.4591
3929,1456000,1011.4375
3935,1458000,1005.2876
3938,1460000,1370.4496
3944,1462000,1421.2557
3948,1464000,1666.8374
3952,1466000,1331.5646
3956,1468000,1739.2594
3960,1470000,1683.1201
3963,1472000,1917.6552
3966,1474000,1934.5411
