episode,timestep,reward
93,2000,16.9091
181,4000,18.4546
240,6000,34.5124
309,8000,27.9391
352,10000,63.5644
400,12000,51.8257
431,14000,96.5567
460,16000,106.3036
480,18000,155.0329
498,20000,174.8348
520,22000,164.5861
539,24000,202.7341
557,26000,227.3339
576,28000,197.6926
593,30000,231.7966
611,32000,214.3819
627,34000,246.7459
643,36000,253.3253
658,38000,291.5445
672,40000,299.6966
685,42000,311.0665
701,44000,273.4384
714,46000,332.8988
728,48000,332.9308
741,50000,329.9347
754,52000,332.8309
767,54000,339.794
781,56000,332.7054
795,58000,339.1688
809,60000,313.7905
824,62000,325.3309
838,64000,322.735
852,66000,348.2039
866,68000,344.3642
880,70000,342.8384
894,72000,340.4335
909,74000,341.6887
923,76000,340.0759
938,78000,351.3283
953,80000,350.1048
967,82000,360.7076
981,84000,353.7218
995,86000,374.3859
1010,88000,358.3483
1024,90000,371.9854
1038,92000,364.4264
1052,94000,371.51
1066,96000,391.3813
1080,98000,385.6657
1094,100000,379.961
1108,102000,383.0855
1122,104000,377.9608
1136,106000,379.7261
1150,108000,388.9244
1163,110000,384.6542
1176,112000,407.1936
1189,114000,410.7472
1202,116000,411.6275
1216,118000,402.9525
