episode,timestep,reward
82,2000,18.5684
152,4000,24.7596
213,6000,33.7397
272,8000,34.6535
316,10000,49.9184
348,12000,83.0392
372,14000,147.9589
393,16000,169.8892
412,18000,197.1321
433,20000,176.1983
451,22000,221.516
470,24000,205.6568
487,26000,235.4128
505,28000,234.7921
521,30000,252.7319
537,32000,248.2289
554,34000,251.8847
569,36000,264.159
585,38000,272.3091
600,40000,275.5006
615,42000,281.1201
630,44000,280.9665
644,46000,292.1233
659,48000,288.5851
675,50000,277.5501
689,52000,296.2961
703,54000,315.8331
716,56000,309.7377
731,58000,311.2139
746,60000,300.372
760,62000,302.7496
775,64000,308.737
790,66000,316.7517
804,68000,323.2741
818,70000,317.9073
833,72000,321.9791
847,74000,325.1939
861,76000,326.9544
875,78000,321.792
889,80000,328.2085
904,82000,314.216
919,84000,318.9941
933,86000,326.5192
947,88000,331.0858
962,90000,311.766
976,92000,330.0646
992,94000,307.1029
1006,96000,329.4536
1019,98000,336.8545
1033,100000,332.1115
1046,102000,336.1192
1059,104000,348.1166
1074,106000,313.9438
1088,108000,334.9512
1102,110000,337.0556
1116,112000,329.4865
1131,114000,343.0767
1145,116000,342.0515
1160,118000,348.4094
1174,120000,341.249
1189,122000,355.2471
1204,124000,334.6525
1218,126000,356.3995
1233,128000,343.9289
1248,130000,358.6921
1262,132000,354.2396
1278,134000,335.2977
1293,136000,343.824
1307,138000,361.3295
1322,140000,363.5701
1337,142000,347.7009
1351,144000,375.3772
1366,146000,354.966
1381,148000,365.7563
1395,150000,372.8475
1410,152000,358.3988
1424,154000,385.9999
1439,156000,377.106
