episode,timestep,reward
54,2000,19.285
113,4000,18.9832
152,6000,41.6247
202,8000,28.1602
236,10000,65.7018
263,12000,80.1903
288,14000,104.7179
314,16000,86.9034
340,18000,114.9924
368,20000,100.6074
393,22000,119.2033
415,24000,134.9946
437,26000,138.8225
457,28000,150.6163
474,30000,206.7898
491,32000,189.745
508,34000,198.2315
525,36000,213.5612
541,38000,224.8636
557,40000,222.2286
569,42000,287.9197
584,44000,265.7295
600,46000,245.8557
614,48000,285.8787
629,50000,243.2296
643,52000,279.9274
657,54000,306.2741
671,56000,267.8055
685,58000,295.5474
699,60000,291.2947
712,62000,310.0051
726,64000,296.5433
740,66000,316.7408
754,68000,294.0077
767,70000,334.8049
780,72000,326.4307
793,74000,318.9991
808,76000,313.952
821,78000,331.1323
834,80000,335.8355
848,82000,347.0002
861,84000,339.4695
874,86000,348.2832
888,88000,328.8222
902,90000,360.0959
915,92000,364.3406
928,94000,359.0738
941,96000,365.5222
953,98000,405.9038
965,100000,388.0736
977,102000,401.8468
989,104000,405.7911
1000,106000,451.2985
1012,108000,423.5516
1024,110000,406.6384
1036,112000,419.0057
1047,114000,432.8418
1059,116000,430.1393
1070,118000,460.019
1081,120000,452.0534
1091,122000,484.8315
1102,124000,440.6683
1113,126000,455.45
1123,128000,498.9511
1133,130000,466.7752
1144,132000,463.8154
1154,134000,515.7088
1164,136000,517.9656
1174,138000,489.1108
1184,140000,463.5234
1192,142000,630.0256
1201,144000,589.6538
1211,146000,442.8831
1219,148000,590.3998
1228,150000,608.0195
1237,152000,533.0608
1244,154000,704.4562
1253,156000,625.3758
1262,158000,504.1825
1271,160000,511.8703
1280,162000,561.6568
1291,164000,472.257
1300,166000,528.8804
