episode,timestep,reward
112,2000,12.5057
219,4000,13.3538
308,6000,16.8258
402,8000,16.6329
459,10000,34.8923
505,12000,47.9615
545,14000,60.2684
577,16000,83.7448
610,18000,87.3512
635,20000,117.8904
665,22000,99.7766
693,24000,114.8549
718,26000,127.2523
741,28000,134.6108
761,30000,163.6373
784,32000,143.3764
803,34000,189.6488
821,36000,194.1883
841,38000,178.3183
859,40000,202.9106
878,42000,187.1012
897,44000,192.3883
914,46000,210.587
932,48000,209.1214
949,50000,220.7347
966,52000,213.2505
984,54000,210.4328
1002,56000,211.2015
1020,58000,211.0787
1038,60000,213.666
1055,62000,223.0547
1072,64000,219.4505
1089,66000,222.5338
1106,68000,231.4033
1122,70000,231.1788
1138,72000,242.5634
1153,74000,250.5554
1169,76000,240.2715
1185,78000,249.3375
1200,80000,240.9555
1216,82000,243.1806
1231,84000,270.8326
1245,86000,279.4266
1259,88000,284.9797
1272,90000,303.4247
1286,92000,296.6124
1300,94000,309.4956
1314,96000,283.1988
1327,98000,317.7052
1340,100000,311.5834
1354,102000,323.0937
1368,104000,290.4726
1381,106000,309.0289
1394,108000,316.3349
1408,110000,315.0474
1420,112000,314.7216
1434,114000,330.9662
1447,116000,322.489
1458,118000,332.9973
1471,120000,333.0698
1484,122000,344.0489
1497,124000,340.7996
1510,126000,346.4302
1522,128000,344.472
1535,130000,329.4843
1547,132000,363.4586
1561,134000,340.2238
1574,136000,341.1528
1586,138000,370.0595
1600,140000,346.9556
1613,142000,347.7629
1625,144000,390.1748
1636,146000,402.3645
1649,148000,375.2318
1659,150000,461.785
1670,152000,408.8601
1682,154000,401.3037
1693,156000,443.7206
1704,158000,418.2751
1715,160000,441.4138
1725,162000,465.5434
1734,164000,482.3295
1743,166000,512.0424
1754,168000,457.888
1761,170000,625.5639
1770,172000,547.0098
1781,174000,359.5317
1790,176000,520.8659
1800,178000,500.7523
1807,180000,656.4577
1817,182000,457.402
