episode,timestep,reward
77,2000,20.7787
163,4000,18.424
230,6000,29.0988
302,8000,26.9001
351,10000,49.1239
388,12000,74.3896
420,14000,104.1575
458,16000,83.1283
486,18000,119.4479
513,20000,136.9161
538,22000,151.5719
561,24000,174.536
586,26000,164.6431
609,28000,185.3488
631,30000,189.343
652,32000,203.4892
672,34000,211.5219
694,36000,210.1078
716,38000,192.8358
737,40000,201.9312
759,42000,196.458
780,44000,218.0694
800,46000,219.4848
822,48000,206.3106
842,50000,220.6975
862,52000,216.3218
882,54000,227.9802
901,56000,227.0333
919,58000,233.9525
938,60000,228.1671
955,62000,247.2882
973,64000,242.2128
991,66000,233.9066
1008,68000,262.2141
1024,70000,260.2576
1040,72000,265.0019
1056,74000,278.8158
1071,76000,289.6914
1086,78000,292.8329
1101,80000,296.4954
1116,82000,306.2727
1130,84000,310.568
1144,86000,319.5747
1158,88000,319.0703
1173,90000,313.5802
1186,92000,330.0167
1201,94000,322.7672
1216,96000,303.072
1230,98000,323.8825
1244,100000,329.1434
1258,102000,332.0294
1272,104000,328.8438
1288,106000,320.7696
1303,108000,320.2766
1317,110000,331.0345
1332,112000,328.6057
1348,114000,313.4525
1363,116000,332.648
1377,118000,347.8816
1392,120000,336.6989
1407,122000,355.3372
1422,124000,328.8378
1436,126000,372.3208
1450,128000,364.1751
1465,130000,362.2387
1480,132000,336.9101
1494,134000,355.8467
1509,136000,363.712
1524,138000,340.7836
1539,140000,345.686
1553,142000,382.3717
1568,144000,357.7192
1582,146000,374.8077
1596,148000,383.2218
1611,150000,359.6524
1626,152000,350.5403
1640,154000,382.5107
1654,156000,405.7752
1668,158000,382.4082
1682,160000,388.7341
1695,162000,395.1717
1709,164000,377.1653
1723,166000,393.4284
1737,168000,381.64
1751,170000,399.4558
1764,172000,409.0352
1777,174000,406.9615
1790,176000,416.943
1803,178000,439.75
1816,180000,404.2455
1829,182000,430.9116
1841,184000,463.457
