episode,timestep,reward
155,2000,9.4817
298,4000,10.8283
448,6000,10.9082
593,8000,11.1247
741,10000,11.3515
881,12000,12.2395
1031,14000,11.5235
1155,16000,15.6082
1282,18000,16.0529
1410,20000,15.4534
1533,22000,16.1388
1671,24000,13.6808
1791,26000,17.199
1910,28000,17.1567
2042,30000,14.8617
2167,32000,15.7952
2283,34000,19.0356
2397,36000,19.5664
2524,38000,15.6757
2654,40000,15.593
2763,42000,21.5071
2875,44000,20.6034
2991,46000,19.8888
3122,48000,16.0771
3257,50000,14.8677
3396,52000,14.0484
3543,54000,12.8917
