episode,timestep,reward
77,2000,32.5077
133,4000,57.3682
192,6000,54.6352
256,8000,49.224
326,10000,44.9844
397,12000,44.0994
467,14000,44.1608
537,16000,44.0614
608,18000,43.8613
678,20000,43.8168
750,22000,43.0918
821,24000,43.8878
893,26000,42.366
964,28000,42.9121
1037,30000,41.6932
1110,32000,41.3611
1180,34000,43.5753
1247,36000,44.9773
1285,38000,85.5106
1308,40000,158.9539
1333,42000,146.8151
1359,44000,143.9829
1383,46000,149.3038
1403,48000,188.5329
1425,50000,169.74
1450,52000,156.4356
1481,54000,118.1655
1513,56000,117.5884
1541,58000,146.2446
1565,60000,169.4954
1593,62000,148.8256
1622,64000,135.4242
1679,66000,57.4184
1723,68000,81.8108
1762,70000,95.7905
1805,72000,83.3468
1851,74000,77.978
1897,76000,77.4646
1944,78000,76.5866
1991,80000,76.0957
2038,82000,74.8898
2082,84000,80.9553
2130,86000,73.4885
2178,88000,73.8251
2224,90000,76.2791
2271,92000,75.6618
2316,94000,78.867
2356,96000,87.778
2395,98000,91.3664
2426,100000,123.7367
2455,102000,127.0296
2491,104000,100.2601
2526,106000,104.9889
2566,108000,89.3058
2607,110000,86.4689
2650,112000,81.0629
2695,114000,79.5242
2736,116000,85.4343
2778,118000,85.2478
2818,120000,87.9119
2851,122000,111.483
2885,124000,102.8456
2912,126000,130.3838
2940,128000,125.9308
2967,130000,130.0928
2994,132000,132.2432
3019,134000,149.3224
3044,136000,141.3159
3069,138000,143.3927
3094,140000,145.8971
3122,142000,134.7543
3152,144000,130.6833
3182,146000,121.3593
3207,148000,157.3699
3231,150000,164.9705
3255,152000,166.9899
3279,154000,170.8182
3301,156000,173.5012
3323,158000,184.4579
3346,160000,179.2806
3370,162000,164.8432
3395,164000,164.8378
3421,166000,144.6136
3449,168000,132.4693
3476,170000,142.267
3503,172000,134.578
3530,174000,142.2694
3559,176000,121.7167
3585,178000,146.0723
3612,180000,135.187
3642,182000,119.8249
3668,184000,149.276
3696,186000,137.9842
3721,188000,150.4754
3748,190000,148.2279
3773,192000,149.3274
3798,194000,158.7337
3822,196000,162.8718
3847,198000,165.5605
3877,200000,127.6731
3910,202000,113.2462
3937,204000,141.1971
3964,206000,146.3774
3991,208000,132.6954
4028,210000,98.7975
4063,212000,106.0851
4105,214000,82.0033
4145,216000,87.7325
4181,218000,101.6375
4213,220000,113.9248
4244,222000,114.4293
