episode,timestep,reward
107,2000,13.3532
213,4000,13.172
308,6000,19.2479
401,8000,19.9271
476,10000,30.9142
556,12000,30.3463
630,14000,35.7108
708,16000,31.0384
781,18000,37.1307
848,20000,43.1811
912,22000,47.2963
972,24000,50.5964
1031,26000,55.4103
1077,28000,78.8386
1130,30000,69.1215
1187,32000,58.6761
1236,34000,76.9488
1282,36000,80.5269
1334,38000,73.5713
1385,40000,70.9234
1409,42000,201.3332
1438,44000,155.5901
1474,46000,125.9652
1515,48000,104.8363
1553,50000,112.9468
1588,52000,124.9109
1615,54000,169.4996
1656,56000,100.8178
1686,58000,147.3866
1713,60000,177.0298
1742,62000,162.4281
1777,64000,120.8473
1806,66000,157.6718
1831,68000,178.8395
1856,70000,183.1063
1883,72000,176.6848
1917,74000,126.5866
1952,76000,120.3228
1977,78000,178.6703
2007,80000,143.6501
2033,82000,166.1678
2063,84000,145.3789
2088,86000,172.1622
2114,88000,170.3107
2138,90000,199.2708
2162,92000,190.09
2187,94000,175.8424
2214,96000,163.6951
2240,98000,163.6989
2263,100000,205.7913
2290,102000,156.3002
2317,104000,171.2162
2340,106000,196.6117
2361,108000,216.7001
2385,110000,189.3082
2408,112000,198.3777
2430,114000,208.4136
2454,116000,184.2368
2477,118000,198.1764
2498,120000,217.8375
2520,122000,210.9867
2540,124000,219.6161
2562,126000,210.5374
2584,128000,215.8564
2606,130000,203.9255
2628,132000,213.6182
2649,134000,211.1192
2669,136000,242.8459
2691,138000,211.4641
2711,140000,227.3733
2736,142000,179.4703
2760,144000,184.0366
2787,146000,167.9823
2811,148000,180.8056
2834,150000,202.7485
2856,152000,214.2552
2881,154000,176.1904
2904,156000,190.0094
2926,158000,214.8984
2949,160000,196.3425
2972,162000,201.75
2993,164000,222.7537
3017,166000,179.0982
3040,168000,206.7222
3063,170000,196.3998
3086,172000,203.3788
3107,174000,216.8537
3129,176000,207.0803
3152,178000,192.7692
3174,180000,206.822
3199,182000,177.7896
3221,184000,218.6691
3242,186000,210.7841
3265,188000,203.9941
3288,190000,200.2861
3310,192000,200.4697
3335,194000,175.6501
