episode,timestep,reward
73,2000,26.0146
151,4000,23.5429
205,6000,44.9255
254,8000,58.0794
296,10000,80.0095
336,12000,87.0105
368,14000,121.1904
398,16000,118.684
430,18000,121.8617
464,20000,108.0318
491,22000,153.616
518,24000,146.6283
545,26000,145.1043
578,28000,120.8172
610,30000,117.8203
648,32000,99.8913
692,34000,79.8425
733,36000,89.7249
778,38000,79.9301
828,40000,67.6142
877,42000,70.7566
924,44000,78.0565
968,46000,75.8705
1030,48000,54.2508
1079,50000,71.7445
1131,52000,67.2773
1188,54000,58.4699
1248,56000,54.997
1305,58000,56.5311
1356,60000,71.0922
1398,62000,87.3223
1446,64000,75.1471
1475,66000,146.0441
1515,68000,93.3264
1555,70000,93.8209
1589,72000,115.8043
1617,74000,151.3942
1648,76000,136.6646
1671,78000,196.0243
1697,80000,157.6064
1720,82000,197.3978
1743,84000,189.2011
1762,86000,254.0318
1782,88000,232.6279
1801,90000,238.6833
1820,92000,243.5426
1839,94000,248.7479
