episode,timestep,reward
11,2000,477.1827
28,4000,325.4751
42,6000,363.8055
57,8000,382.2906
70,10000,415.0976
85,12000,384.0636
97,14000,480.3081
110,16000,426.7436
124,18000,417.8346
138,20000,389.9451
151,22000,444.1254
165,24000,380.9497
175,26000,589.2004
186,28000,526.3702
196,30000,571.5409
207,32000,562.6479
217,34000,577.3435
227,36000,523.6514
237,38000,575.5106
245,40000,707.0897
253,42000,744.5725
258,44000,949.3521
264,46000,1017.392
270,48000,937.5676
277,50000,624.4164
284,52000,850.2964
288,54000,1405.0251
293,56000,1117.6447
304,58000,596.6554
315,60000,457.4423
325,62000,484.2983
337,64000,447.026
351,66000,399.1615
362,68000,458.0866
373,70000,527.5821
383,72000,507.762
392,74000,623.5093
398,76000,944.9401
405,78000,742.9311
412,80000,832.5872
419,82000,719.7724
427,84000,720.8558
435,86000,695.7818
444,88000,530.372
450,90000,1004.9997
455,92000,945.2305
463,94000,730.6401
470,96000,819.0416
482,98000,465.8136
492,100000,536.014
505,102000,451.6912
520,104000,374.5355
535,106000,329.2656
554,108000,275.3585
570,110000,309.0888
586,112000,337.4787
602,114000,325.1516
617,116000,353.3902
634,118000,307.7112
655,120000,222.8568
677,122000,211.7579
698,124000,227.3036
720,126000,219.5509
740,128000,246.3174
761,130000,226.6301
780,132000,248.718
801,134000,233.4703
818,136000,314.9655
833,138000,359.2722
847,140000,404.1174
861,142000,403.1806
874,144000,424.7301
890,146000,331.4089
904,148000,345.9931
919,150000,365.4981
931,152000,460.0914
943,154000,395.6924
953,156000,492.6346
962,158000,601.6451
971,160000,568.1115
994,162000,182.5537
1018,164000,173.4198
1040,166000,172.1234
1061,168000,203.9692
1079,170000,242.899
1101,172000,191.3558
1118,174000,251.8869
1134,176000,266.419
1151,178000,248.1943
1165,180000,324.2755
1177,182000,394.8466
1195,184000,259.1276
1210,186000,289.4158
1223,188000,328.1985
1235,190000,423.4666
1249,192000,356.6482
1260,194000,405.4379
1271,196000,502.0111
1278,198000,683.5617
1286,200000,722.0443
1292,202000,795.7798
1299,204000,863.6716
1308,206000,552.8286
1316,208000,653.3465
1323,210000,661.7584
1329,212000,982.3856
1335,214000,868.7771
1341,216000,863.6713
1347,218000,893.5225
1354,220000,805.6906
1365,222000,495.6919
1376,224000,451.6005
1393,226000,347.5951
1408,228000,369.9479
1420,230000,473.9332
1433,232000,429.0115
1445,234000,419.2607
1459,236000,437.1518
1475,238000,339.0005
1490,240000,361.2546
1509,242000,243.5596
1528,244000,274.8982
1543,246000,353.0139
1557,248000,396.4048
1572,250000,339.9725
1587,252000,367.62
1600,254000,422.4457
1616,256000,319.3389
1633,258000,325.204
1650,260000,314.245
1662,262000,440.9589
1675,264000,472.3272
1688,266000,435.5957
1701,268000,407.5823
1723,270000,226.1473
1740,272000,305.0846
1764,274000,184.7419
1783,276000,248.1665
1806,278000,204.7754
1828,280000,207.1194
1847,282000,254.4643
1861,284000,373.394
1877,286000,326.1108
1892,288000,361.058
1907,290000,348.2404
