episode,timestep,reward
79,2000,20.2011
152,4000,23.6362
208,6000,44.5299
255,8000,51.0758
295,10000,86.2112
333,12000,85.7951
367,14000,105.5924
404,16000,95.8364
445,18000,88.5895
482,20000,98.6305
518,22000,101.8954
555,24000,99.195
592,26000,100.9073
624,28000,122.4036
661,30000,99.6616
694,32000,112.8556
726,34000,123.815
757,36000,125.2015
792,38000,109.3953
825,40000,112.991
856,42000,127.5217
886,44000,138.1914
922,46000,100.2686
951,48000,141.1944
985,50000,113.5826
1015,52000,132.9857
1044,54000,146.457
1074,56000,129.9147
1101,58000,161.6146
1129,60000,143.0084
1155,62000,172.449
1180,64000,187.1635
1203,66000,193.4132
1228,68000,185.6351
1254,70000,180.4763
1276,72000,210.8322
1296,74000,233.1257
1318,76000,212.8912
1339,78000,235.0235
1360,80000,229.7387
1379,82000,244.826
1399,84000,243.5529
1420,86000,216.0054
1439,88000,248.776
1458,90000,252.4922
1478,92000,246.7061
1495,94000,285.4829
1513,96000,263.4822
1534,98000,216.9274
1554,100000,222.4602
1574,102000,250.1274
1596,104000,207.3852
1616,106000,227.029
1638,108000,203.7317
1658,110000,236.5045
1679,112000,214.5192
1698,114000,248.088
1717,116000,255.613
1738,118000,216.604
1757,120000,237.2588
1779,122000,206.4601
1799,124000,227.7902
1824,126000,181.4393
1850,128000,162.6898
1871,130000,212.7705
1891,132000,222.4007
1913,134000,205.4798
1937,136000,186.1719
1960,138000,195.3003
1981,140000,216.798
2003,142000,202.4706
2025,144000,199.6969
2047,146000,207.0612
2068,148000,207.145
2090,150000,211.6542
2111,152000,209.66
2133,154000,203.6712
2155,156000,206.5201
2181,158000,153.8674
2207,160000,175.5695
2236,162000,139.5681
2260,164000,186.0121
2285,166000,168.8158
2309,168000,180.2206
2336,170000,155.6842
2358,172000,208.5465
2385,174000,161.3193
2413,176000,142.5146
