episode,timestep,reward
38,2000,45.5201
69,4000,93.8888
87,6000,164.355
111,8000,129.7014
129,10000,170.4272
144,12000,261.1539
164,14000,178.5025
182,16000,229.793
202,18000,207.4642
221,20000,237.5983
237,22000,250.9156
254,24000,245.2274
270,26000,266.0695
286,28000,275.1636
301,30000,285.8334
318,32000,239.3431
335,34000,232.1341
352,36000,262.7001
370,38000,264.5593
387,40000,289.2635
404,42000,269.0542
419,44000,297.16
438,46000,246.2927
454,48000,268.6697
468,50000,299.7045
478,52000,355.4341
486,54000,499.492
496,56000,355.4022
507,58000,409.6983
512,60000,662.4732
523,62000,356.8225
531,64000,429.8659
541,66000,390.0826
549,68000,444.3789
560,70000,360.2127
570,72000,412.1351
580,74000,396.9169
585,76000,733.311
592,78000,565.5578
602,80000,385.1091
612,82000,402.5335
623,84000,336.2317
634,86000,347.897
644,88000,367.0451
659,90000,200.5593
669,92000,357.9248
681,94000,289.7562
692,96000,322.7134
703,98000,384.9672
714,100000,369.5079
727,102000,312.5131
739,104000,321.9316
751,106000,319.7962
762,108000,332.8582
772,110000,397.4718
782,112000,371.2322
794,114000,333.5036
806,116000,340.5348
817,118000,371.6794
829,120000,345.5956
841,122000,340.5128
853,124000,327.7556
866,126000,295.4257
880,128000,314.7673
893,130000,332.1775
909,132000,256.6461
922,134000,291.5779
934,136000,356.4613
946,138000,351.2078
958,140000,344.4806
971,142000,314.3262
982,144000,371.4987
995,146000,337.3303
1008,148000,356.677
1023,150000,286.069
1037,152000,328.9237
1050,154000,360.6673
1062,156000,362.7781
1074,158000,378.6233
1087,160000,351.7603
1100,162000,342.7846
1112,164000,367.907
1124,166000,361.0495
1136,168000,360.4759
1148,170000,360.246
1161,172000,362.6785
1173,174000,352.1704
1185,176000,361.4897
1198,178000,361.9155
1211,180000,351.1793
1224,182000,341.512
1237,184000,337.3154
1250,186000,344.0085
1264,188000,344.2546
1276,190000,356.0535
1289,192000,361.6292
1302,194000,342.189
1316,196000,332.7524
1329,198000,336.2119
1343,200000,338.3456
1357,202000,332.9016
1371,204000,338.3055
1384,206000,347.4666
1400,208000,296.2799
1414,210000,334.0877
1427,212000,345.9114
1441,214000,328.4272
1454,216000,338.8195
1468,218000,321.1734
1483,220000,308.7425
1496,222000,332.737
1511,224000,310.8648
1525,226000,336.6219
1540,228000,313.1651
1553,230000,333.2795
1567,232000,334.6631
1580,234000,344.7655
1592,236000,352.0786
1606,238000,340.0437
1619,240000,352.9306
1633,242000,331.4609
1646,244000,360.9532
1661,246000,338.0085
1676,248000,319.352
1691,250000,338.124
1710,252000,227.957
1722,254000,409.2208
1736,256000,362.3824
1750,258000,380.9562
1765,260000,355.0095
1780,262000,354.035
1795,264000,351.4143
1810,266000,324.8116
1826,268000,328.1312
1848,270000,197.0051
1864,272000,319.235
1878,274000,353.7947
1893,276000,330.923
1908,278000,328.0898
1922,280000,330.1053
1937,282000,326.7754
1951,284000,336.3463
1966,286000,328.0653
1982,288000,304.9851
1996,290000,333.1126
2012,292000,309.8531
2026,294000,330.2096
2044,296000,253.5248
2060,298000,300.045
2074,300000,313.7902
2088,302000,334.8131
2103,304000,326.6583
2116,306000,349.9424
2131,308000,324.4332
2146,310000,346.4653
2160,312000,320.6514
2175,314000,339.1588
2189,316000,351.1096
2202,318000,346.8735
2215,320000,378.1319
2229,322000,304.1
2242,324000,414.1651
2255,326000,384.2198
2266,328000,470.7244
2280,330000,347.12
2293,332000,354.8862
2307,334000,344.8393
2319,336000,410.1583
2331,338000,422.4085
2342,340000,429.6855
2354,342000,437.6
2367,344000,353.2689
2380,346000,384.4396
2392,348000,385.6843
2407,350000,310.1647
2421,352000,304.3763
2436,354000,311.9838
2449,356000,326.3452
2464,358000,309.976
2477,360000,352.7188
2490,362000,366.8088
2503,364000,373.4439
2516,366000,382.0754
2529,368000,366.2693
2542,370000,390.2962
2556,372000,382.4061
2570,374000,382.4659
2583,376000,365.643
2596,378000,381.5952
2609,380000,416.5848
2622,382000,397.3777
