episode,timestep,reward
118,2000,12.6567
237,4000,12.0261
331,6000,19.6252
436,8000,17.1812
524,10000,24.4248
614,12000,24.6477
694,14000,31.5357
768,16000,32.7293
849,18000,31.2582
924,20000,35.0509
1000,22000,34.5379
1080,24000,32.3086
1147,26000,43.2399
1220,28000,37.7319
1284,30000,45.6113
1350,32000,44.5917
1410,34000,49.8835
1469,36000,52.2716
1524,38000,58.0948
1579,40000,57.5128
1631,42000,62.3667
1684,44000,61.7383
1735,46000,64.6776
1786,48000,64.4072
1839,50000,60.7193
1888,52000,69.7664
1938,54000,65.6715
1992,56000,62.9123
2045,58000,61.026
2097,60000,66.7174
2150,62000,64.3008
